Medicine Name,Disease,Dosage Form,Classification,Prescription,Description,Injection,Price,Category,Age
Ibuprofen,Infection,Tablet,Antipyretic,Not Required,Lowers cholesterol,Yes,172.04,Over the Counter,Senior
Cetirizine,Heart Disease,Inhaler,ACE inhibitor,Required,Reduces fever,Yes,451.47,Controlled Substance,Senior
Lisinopril,Diabetes,Tablet,Analgesic,Required,Used for treating infections,No,367.08,Controlled Substance,Child
Simvastatin,Pain,Inhaler,Analgesic,Required,Controls blood pressure,Yes,265.72,Over the Counter,Child
Ibuprofen,Pain,Injection,Analgesic,Not Required,Used for treating infections,No,391.46,Controlled Substance,Adult
Metformin,Cholesterol,Syrup,ACE inhibitor,Not Required,Alleviates allergies,No,419.98,Over the Counter,Child
Omeprazole,Acidity,Inhaler,Statin,Required,Used for treating infections,Yes,331.24,Controlled Substance,Senior
Atorvastatin,Fever,Syrup,Statin,Required,Controls blood pressure,No,183.63,Controlled Substance,Child
Amoxicillin,Blood Pressure,Gel,Proton Pump Inhibitor,Required,Lowers cholesterol,No,313.99,Over the Counter,Child
Ibuprofen,Heart Disease,Syrup,Proton Pump Inhibitor,Required,Used for pain relief,No,447.73,Over the Counter,Senior
Aspirin,Fever,Syrup,ACE inhibitor,Required,Alleviates allergies,No,339.83,Over the Counter,Adult
Cetirizine,Cholesterol,Inhaler,Antipyretic,Not Required,Used for treating infections,No,150.8,Controlled Substance,Child
Atorvastatin,Blood Pressure,Tablet,Statin,Not Required,Used for treating infections,No,270.77,Over the Counter,Child
Metformin,Pain,Cream,Antibiotic,Not Required,Used for treating infections,Yes,278.17,Over the Counter,Child
Omeprazole,Acidity,Inhaler,ACE inhibitor,Required,Controls blood pressure,No,418.67,Prescription,Child
Cetirizine,Blood Pressure,Inhaler,ACE inhibitor,Required,Used for treating infections,Yes,461.42,Over the Counter,Senior
Omeprazole,Fever,Capsule,Antibiotic,Not Required,Reduces fever,Yes,199.6,Prescription,Senior
Cetirizine,Cholesterol,Inhaler,Statin,Not Required,Alleviates allergies,No,330.46,Over the Counter,Adult
Lisinopril,Allergy,Capsule,Antipyretic,Required,Alleviates allergies,No,43.12,Prescription,Child
Atorvastatin,Diabetes,Injection,Analgesic,Not Required,Used for treating infections,Yes,96.79,Prescription,Senior
Omeprazole,Allergy,Drops,Proton Pump Inhibitor,Required,Alleviates allergies,No,174.19,Controlled Substance,Senior
Aspirin,Blood Pressure,Cream,Antihistamine,Required,Controls blood pressure,Yes,58.44,Controlled Substance,Adult
Ibuprofen,Blood Pressure,Syrup,Analgesic,Not Required,Used for treating infections,Yes,451.68,Controlled Substance,Senior
Amoxicillin,Blood Pressure,Capsule,Statin,Not Required,Controls blood pressure,No,134.73,Over the Counter,Adult
Simvastatin,Asthma,Tablet,Antihistamine,Not Required,Alleviates allergies,Yes,152.17,Prescription,Adult
Paracetamol,Infection,Syrup,Antipyretic,Not Required,Used for treating infections,Yes,116.31,Controlled Substance,Adult
Omeprazole,Cholesterol,Syrup,ACE inhibitor,Not Required,Lowers cholesterol,Yes,381.85,Prescription,Senior
Omeprazole,Allergy,Cream,Antihistamine,Not Required,Used for pain relief,No,425.25,Over the Counter,Senior
Cetirizine,Blood Pressure,Capsule,Statin,Required,Used for treating infections,Yes,150.01,Over the Counter,Senior
Paracetamol,Cholesterol,Tablet,Analgesic,Not Required,Reduces fever,Yes,290.88,Over the Counter,Adult
Atorvastatin,Cholesterol,Inhaler,ACE inhibitor,Required,Lowers cholesterol,No,494.52,Prescription,Child
Simvastatin,Cholesterol,Capsule,Antipyretic,Required,Used for pain relief,Yes,192.65,Prescription,Senior
Metformin,Heart Disease,Inhaler,Antihistamine,Not Required,Alleviates allergies,Yes,395.42,Prescription,Senior
Metformin,Heart Disease,Gel,Proton Pump Inhibitor,Not Required,Controls blood pressure,Yes,146.98,Over the Counter,Senior
Amoxicillin,Infection,Gel,ACE inhibitor,Not Required,Alleviates allergies,No,441.13,Over the Counter,Child
Omeprazole,Allergy,Cream,Analgesic,Not Required,Alleviates allergies,Yes,358.51,Controlled Substance,Senior
Amoxicillin,Pain,Capsule,Antihistamine,Not Required,Lowers cholesterol,Yes,344.49,Controlled Substance,Child
Aspirin,Pain,Tablet,Proton Pump Inhibitor,Not Required,Lowers cholesterol,No,28.68,Controlled Substance,Adult
Omeprazole,Asthma,Injection,Analgesic,Not Required,Used for pain relief,No,226.39,Controlled Substance,Senior
Aspirin,Asthma,Cream,Antibiotic,Not Required,Controls blood pressure,No,104.54,Controlled Substance,Child
Atorvastatin,Cholesterol,Gel,Antibiotic,Not Required,Controls blood pressure,No,94.16,Controlled Substance,Senior
Omeprazole,Heart Disease,Drops,Proton Pump Inhibitor,Required,Used for pain relief,No,441.25,Over the Counter,Child
Cetirizine,Fever,Gel,Analgesic,Not Required,Reduces fever,No,337.94,Prescription,Adult
Atorvastatin,Heart Disease,Injection,Analgesic,Not Required,Alleviates allergies,Yes,297.05,Prescription,Adult
Omeprazole,Fever,Drops,Proton Pump Inhibitor,Required,Used for pain relief,Yes,277.51,Over the Counter,Senior
Aspirin,Pain,Gel,Antipyretic,Not Required,Controls blood pressure,Yes,184.71,Controlled Substance,Child
Lisinopril,Infection,Injection,Analgesic,Not Required,Reduces fever,No,359.73,Prescription,Adult
Simvastatin,Cholesterol,Cream,Antipyretic,Not Required,Lowers cholesterol,Yes,93.75,Over the Counter,Adult
Atorvastatin,Asthma,Tablet,Antibiotic,Required,Lowers cholesterol,No,436.7,Prescription,Senior
Paracetamol,Blood Pressure,Syrup,ACE inhibitor,Not Required,Lowers cholesterol,Yes,91.97,Prescription,Senior
Cetirizine,Blood Pressure,Capsule,Antibiotic,Not Required,Controls blood pressure,No,391.61,Over the Counter,Child
Lisinopril,Fever,Drops,Analgesic,Not Required,Controls blood pressure,No,52.19,Prescription,Child
Ibuprofen,Allergy,Gel,Statin,Required,Used for treating infections,No,485.71,Prescription,Child
Omeprazole,Fever,Cream,Proton Pump Inhibitor,Required,Lowers cholesterol,No,368.76,Prescription,Adult
Paracetamol,Cholesterol,Inhaler,Proton Pump Inhibitor,Required,Reduces fever,Yes,253.14,Over the Counter,Senior
Aspirin,Blood Pressure,Syrup,Proton Pump Inhibitor,Required,Used for treating infections,Yes,220.67,Controlled Substance,Senior
Cetirizine,Acidity,Drops,Antihistamine,Not Required,Controls blood pressure,No,73.05,Over the Counter,Adult
Lisinopril,Heart Disease,Syrup,Antipyretic,Required,Alleviates allergies,Yes,480.78,Over the Counter,Child
Ibuprofen,Diabetes,Capsule,ACE inhibitor,Required,Used for pain relief,Yes,411.54,Controlled Substance,Adult
Cetirizine,Asthma,Syrup,Antihistamine,Required,Used for treating infections,No,284.3,Over the Counter,Child
Simvastatin,Fever,Gel,Analgesic,Not Required,Used for treating infections,Yes,431.04,Over the Counter,Adult
Cetirizine,Fever,Tablet,Antihistamine,Required,Controls blood pressure,Yes,325.64,Prescription,Adult
Paracetamol,Fever,Gel,Antipyretic,Not Required,Alleviates allergies,No,396.75,Over the Counter,Child
Atorvastatin,Blood Pressure,Drops,Statin,Required,Controls blood pressure,Yes,239.85,Controlled Substance,Child
Lisinopril,Pain,Cream,ACE inhibitor,Not Required,Used for treating infections,Yes,319.69,Controlled Substance,Child
Paracetamol,Asthma,Syrup,Antihistamine,Not Required,Lowers cholesterol,Yes,252.85,Prescription,Adult
Omeprazole,Heart Disease,Capsule,Analgesic,Required,Used for pain relief,Yes,140.49,Prescription,Adult
Cetirizine,Infection,Cream,Antipyretic,Not Required,Lowers cholesterol,Yes,284.75,Over the Counter,Adult
Lisinopril,Infection,Capsule,Antihistamine,Not Required,Reduces fever,Yes,259.77,Controlled Substance,Senior
Metformin,Acidity,Drops,Proton Pump Inhibitor,Not Required,Controls blood pressure,Yes,194.08,Prescription,Child
Paracetamol,Acidity,Cream,Proton Pump Inhibitor,Not Required,Lowers cholesterol,No,323.16,Prescription,Child
Omeprazole,Allergy,Gel,Antibiotic,Required,Lowers cholesterol,No,6.15,Over the Counter,Senior
Aspirin,Pain,Inhaler,Antipyretic,Required,Used for treating infections,Yes,139.46,Over the Counter,Child
Cetirizine,Blood Pressure,Cream,Statin,Not Required,Lowers cholesterol,No,76.09,Controlled Substance,Senior
Ibuprofen,Heart Disease,Syrup,Antipyretic,Required,Alleviates allergies,Yes,389.81,Over the Counter,Senior
Lisinopril,Cholesterol,Inhaler,Antihistamine,Not Required,Alleviates allergies,Yes,433.67,Over the Counter,Adult
Omeprazole,Heart Disease,Injection,Statin,Required,Used for pain relief,Yes,115.61,Controlled Substance,Child
Aspirin,Blood Pressure,Gel,Analgesic,Not Required,Alleviates allergies,No,425.49,Prescription,Adult
Metformin,Blood Pressure,Capsule,ACE inhibitor,Not Required,Controls blood pressure,Yes,477.29,Over the Counter,Adult
Lisinopril,Blood Pressure,Injection,ACE inhibitor,Required,Controls blood pressure,No,335.97,Prescription,Senior
Simvastatin,Acidity,Cream,Proton Pump Inhibitor,Not Required,Lowers cholesterol,No,250.04,Prescription,Senior
Simvastatin,Asthma,Injection,Antibiotic,Not Required,Lowers cholesterol,Yes,199.78,Over the Counter,Child
Atorvastatin,Fever,Tablet,Antibiotic,Required,Used for treating infections,No,138.86,Over the Counter,Adult
Simvastatin,Blood Pressure,Cream,ACE inhibitor,Not Required,Reduces fever,Yes,413.13,Prescription,Senior
Omeprazole,Diabetes,Syrup,Proton Pump Inhibitor,Not Required,Reduces fever,No,451.71,Controlled Substance,Adult
Lisinopril,Fever,Capsule,Statin,Not Required,Controls blood pressure,No,432.51,Prescription,Child
Aspirin,Asthma,Injection,Statin,Required,Controls blood pressure,No,236.4,Prescription,Senior
Paracetamol,Acidity,Inhaler,Antipyretic,Not Required,Used for treating infections,Yes,69.97,Prescription,Adult
Cetirizine,Pain,Gel,Antipyretic,Not Required,Controls blood pressure,Yes,176.22,Controlled Substance,Senior
Cetirizine,Fever,Drops,Statin,Required,Controls blood pressure,Yes,484.43,Over the Counter,Adult
Cetirizine,Cholesterol,Gel,Statin,Required,Controls blood pressure,Yes,77.45,Prescription,Child
Aspirin,Allergy,Gel,Proton Pump Inhibitor,Required,Lowers cholesterol,Yes,360.9,Prescription,Child
Aspirin,Pain,Inhaler,Antibiotic,Not Required,Reduces fever,Yes,33.46,Over the Counter,Child
Atorvastatin,Heart Disease,Cream,Antibiotic,Not Required,Controls blood pressure,Yes,369.5,Prescription,Adult
Atorvastatin,Allergy,Gel,Analgesic,Required,Controls blood pressure,Yes,235.57,Over the Counter,Senior
Ibuprofen,Pain,Inhaler,Antihistamine,Not Required,Reduces fever,No,239.67,Over the Counter,Senior
Amoxicillin,Infection,Injection,Antipyretic,Not Required,Alleviates allergies,No,444.87,Over the Counter,Senior
Amoxicillin,Cholesterol,Cream,Antipyretic,Not Required,Lowers cholesterol,Yes,135.4,Over the Counter,Adult
Atorvastatin,Allergy,Inhaler,Analgesic,Not Required,Lowers cholesterol,Yes,449.25,Controlled Substance,Senior
Lisinopril,Acidity,Syrup,Antibiotic,Not Required,Lowers cholesterol,No,221.3,Controlled Substance,Child
Metformin,Pain,Tablet,Statin,Required,Reduces fever,No,255.77,Prescription,Senior
Metformin,Acidity,Drops,Antibiotic,Required,Controls blood pressure,No,236.82,Prescription,Senior
Aspirin,Blood Pressure,Cream,ACE inhibitor,Not Required,Alleviates allergies,No,216.88,Controlled Substance,Senior
Cetirizine,Allergy,Gel,Analgesic,Required,Reduces fever,Yes,227.34,Controlled Substance,Senior
Cetirizine,Infection,Tablet,Analgesic,Required,Reduces fever,Yes,347.08,Controlled Substance,Adult
Atorvastatin,Diabetes,Inhaler,ACE inhibitor,Not Required,Alleviates allergies,No,72.72,Over the Counter,Child
Simvastatin,Pain,Injection,Analgesic,Required,Used for pain relief,No,112.24,Prescription,Child
Atorvastatin,Blood Pressure,Capsule,Antihistamine,Not Required,Reduces fever,Yes,391.95,Prescription,Adult
Cetirizine,Infection,Injection,ACE inhibitor,Not Required,Alleviates allergies,Yes,481.96,Over the Counter,Senior
Amoxicillin,Fever,Cream,Analgesic,Required,Lowers cholesterol,Yes,290.94,Controlled Substance,Adult
Ibuprofen,Acidity,Cream,Statin,Required,Controls blood pressure,No,122.78,Over the Counter,Child
Paracetamol,Diabetes,Gel,Antibiotic,Required,Reduces fever,Yes,85.36,Over the Counter,Adult
Omeprazole,Blood Pressure,Tablet,ACE inhibitor,Not Required,Used for pain relief,Yes,158.36,Prescription,Adult
Metformin,Diabetes,Gel,ACE inhibitor,Required,Controls blood pressure,Yes,349.18,Controlled Substance,Senior
Simvastatin,Cholesterol,Gel,Proton Pump Inhibitor,Not Required,Used for pain relief,Yes,70.8,Over the Counter,Adult
Atorvastatin,Allergy,Gel,Proton Pump Inhibitor,Required,Lowers cholesterol,Yes,319.25,Prescription,Senior
Aspirin,Blood Pressure,Cream,Statin,Required,Controls blood pressure,No,190.14,Controlled Substance,Child
Omeprazole,Acidity,Gel,Antihistamine,Not Required,Used for treating infections,Yes,352.63,Controlled Substance,Adult
Omeprazole,Blood Pressure,Drops,Antihistamine,Not Required,Reduces fever,Yes,190.94,Controlled Substance,Child
Metformin,Infection,Syrup,ACE inhibitor,Not Required,Used for pain relief,Yes,468.51,Prescription,Adult
Paracetamol,Cholesterol,Injection,Antibiotic,Required,Reduces fever,No,260.11,Controlled Substance,Child
Atorvastatin,Cholesterol,Cream,Antibiotic,Not Required,Used for pain relief,No,178.92,Controlled Substance,Senior
Omeprazole,Allergy,Injection,Analgesic,Not Required,Alleviates allergies,No,196.93,Controlled Substance,Senior
Atorvastatin,Allergy,Syrup,Statin,Not Required,Controls blood pressure,No,208.71,Prescription,Senior
Cetirizine,Infection,Cream,Antibiotic,Not Required,Alleviates allergies,Yes,281.96,Prescription,Adult
Cetirizine,Acidity,Tablet,Antibiotic,Not Required,Reduces fever,No,452.81,Prescription,Adult
Cetirizine,Pain,Drops,Antihistamine,Required,Lowers cholesterol,Yes,358.21,Controlled Substance,Adult
Metformin,Blood Pressure,Syrup,Proton Pump Inhibitor,Not Required,Used for treating infections,Yes,184.74,Prescription,Child
Metformin,Asthma,Gel,Antihistamine,Required,Controls blood pressure,No,43.4,Controlled Substance,Child
Atorvastatin,Cholesterol,Inhaler,Proton Pump Inhibitor,Not Required,Used for treating infections,Yes,14.11,Prescription,Senior
Cetirizine,Cholesterol,Capsule,Antipyretic,Required,Controls blood pressure,No,148.31,Over the Counter,Adult
Metformin,Infection,Drops,ACE inhibitor,Not Required,Alleviates allergies,No,192.1,Controlled Substance,Child
Simvastatin,Allergy,Syrup,ACE inhibitor,Required,Lowers cholesterol,No,472.4,Prescription,Senior
Amoxicillin,Cholesterol,Capsule,Proton Pump Inhibitor,Required,Reduces fever,No,411.02,Controlled Substance,Senior
Lisinopril,Asthma,Gel,Proton Pump Inhibitor,Required,Controls blood pressure,No,98.14,Prescription,Adult
Ibuprofen,Acidity,Capsule,Proton Pump Inhibitor,Required,Alleviates allergies,Yes,431.24,Over the Counter,Adult
Metformin,Asthma,Inhaler,Proton Pump Inhibitor,Required,Lowers cholesterol,No,71.87,Prescription,Child
Lisinopril,Allergy,Cream,Statin,Required,Lowers cholesterol,Yes,308.88,Controlled Substance,Adult
Simvastatin,Asthma,Gel,Antibiotic,Not Required,Controls blood pressure,No,56.17,Over the Counter,Child
Ibuprofen,Blood Pressure,Drops,Antipyretic,Required,Alleviates allergies,Yes,130.35,Over the Counter,Child
Ibuprofen,Heart Disease,Inhaler,Antipyretic,Not Required,Used for treating infections,Yes,421.0,Over the Counter,Adult
Amoxicillin,Diabetes,Capsule,ACE inhibitor,Required,Controls blood pressure,No,39.09,Controlled Substance,Adult
Amoxicillin,Fever,Drops,ACE inhibitor,Required,Reduces fever,No,255.48,Controlled Substance,Adult
Aspirin,Fever,Tablet,Antihistamine,Required,Used for pain relief,No,225.7,Controlled Substance,Child
Omeprazole,Acidity,Cream,Proton Pump Inhibitor,Not Required,Reduces fever,No,295.8,Controlled Substance,Senior
Lisinopril,Diabetes,Syrup,ACE inhibitor,Required,Reduces fever,Yes,139.27,Controlled Substance,Adult
Atorvastatin,Blood Pressure,Cream,Analgesic,Not Required,Alleviates allergies,Yes,270.77,Prescription,Child
Metformin,Acidity,Injection,Antipyretic,Required,Lowers cholesterol,Yes,79.82,Controlled Substance,Adult
Lisinopril,Fever,Gel,Antipyretic,Required,Lowers cholesterol,No,304.56,Over the Counter,Senior
Paracetamol,Asthma,Capsule,ACE inhibitor,Required,Controls blood pressure,Yes,105.37,Over the Counter,Child
Atorvastatin,Heart Disease,Gel,Antipyretic,Required,Lowers cholesterol,Yes,182.39,Prescription,Child
Ibuprofen,Acidity,Cream,ACE inhibitor,Required,Reduces fever,Yes,433.22,Prescription,Adult
Paracetamol,Heart Disease,Cream,Statin,Required,Used for treating infections,Yes,61.59,Prescription,Adult
Lisinopril,Allergy,Inhaler,Antipyretic,Not Required,Controls blood pressure,No,183.95,Prescription,Adult
Paracetamol,Heart Disease,Drops,Antihistamine,Required,Lowers cholesterol,Yes,456.49,Prescription,Senior
Aspirin,Pain,Capsule,Proton Pump Inhibitor,Not Required,Used for pain relief,Yes,217.58,Prescription,Senior
Simvastatin,Allergy,Syrup,Antihistamine,Required,Reduces fever,No,430.77,Prescription,Adult
Atorvastatin,Heart Disease,Capsule,Statin,Not Required,Lowers cholesterol,Yes,313.63,Controlled Substance,Senior
Cetirizine,Blood Pressure,Tablet,Analgesic,Not Required,Reduces fever,No,362.65,Prescription,Adult
Ibuprofen,Allergy,Tablet,Antibiotic,Not Required,Used for pain relief,No,492.07,Over the Counter,Senior
Ibuprofen,Diabetes,Capsule,Analgesic,Not Required,Used for pain relief,Yes,368.4,Over the Counter,Adult
Aspirin,Pain,Gel,Antihistamine,Required,Used for treating infections,No,252.32,Controlled Substance,Child
Atorvastatin,Fever,Tablet,Analgesic,Not Required,Controls blood pressure,Yes,62.44,Over the Counter,Senior
Atorvastatin,Acidity,Inhaler,Statin,Not Required,Controls blood pressure,No,187.23,Over the Counter,Child
Lisinopril,Heart Disease,Capsule,Analgesic,Not Required,Lowers cholesterol,Yes,189.05,Over the Counter,Senior
Amoxicillin,Infection,Syrup,Analgesic,Required,Controls blood pressure,Yes,43.16,Controlled Substance,Senior
Omeprazole,Asthma,Inhaler,Antipyretic,Required,Lowers cholesterol,No,103.67,Over the Counter,Child
Lisinopril,Acidity,Gel,ACE inhibitor,Not Required,Alleviates allergies,Yes,438.35,Over the Counter,Adult
Metformin,Infection,Drops,Antibiotic,Not Required,Controls blood pressure,Yes,395.11,Prescription,Child
Ibuprofen,Fever,Inhaler,Statin,Not Required,Used for pain relief,Yes,286.2,Prescription,Child
Amoxicillin,Pain,Cream,Statin,Required,Used for treating infections,Yes,20.07,Controlled Substance,Child
Amoxicillin,Cholesterol,Gel,Analgesic,Not Required,Lowers cholesterol,No,410.89,Controlled Substance,Adult
Atorvastatin,Fever,Syrup,ACE inhibitor,Not Required,Controls blood pressure,No,416.32,Controlled Substance,Child
Paracetamol,Blood Pressure,Inhaler,Antihistamine,Not Required,Lowers cholesterol,No,412.45,Controlled Substance,Adult
Aspirin,Heart Disease,Syrup,Antipyretic,Not Required,Controls blood pressure,Yes,429.14,Controlled Substance,Child
Metformin,Blood Pressure,Injection,Proton Pump Inhibitor,Not Required,Used for treating infections,Yes,157.79,Controlled Substance,Child
Omeprazole,Cholesterol,Syrup,Antihistamine,Required,Lowers cholesterol,No,298.18,Controlled Substance,Adult
Simvastatin,Heart Disease,Syrup,Antibiotic,Required,Controls blood pressure,Yes,330.1,Controlled Substance,Adult
Ibuprofen,Heart Disease,Capsule,Antibiotic,Required,Reduces fever,Yes,97.33,Prescription,Child
Cetirizine,Blood Pressure,Inhaler,Antibiotic,Required,Alleviates allergies,No,162.78,Over the Counter,Senior
Atorvastatin,Pain,Tablet,Statin,Required,Controls blood pressure,Yes,498.16,Prescription,Adult
Ibuprofen,Diabetes,Gel,Antibiotic,Not Required,Used for pain relief,Yes,425.69,Over the Counter,Senior
Aspirin,Acidity,Capsule,Antipyretic,Required,Used for pain relief,Yes,208.11,Over the Counter,Adult
Omeprazole,Allergy,Syrup,Analgesic,Required,Used for pain relief,No,329.3,Controlled Substance,Adult
Lisinopril,Pain,Cream,Antibiotic,Required,Used for treating infections,No,372.18,Over the Counter,Child
Amoxicillin,Allergy,Cream,Analgesic,Not Required,Lowers cholesterol,No,320.18,Prescription,Adult
Simvastatin,Cholesterol,Gel,Analgesic,Required,Lowers cholesterol,Yes,178.11,Over the Counter,Adult
Amoxicillin,Heart Disease,Inhaler,Antihistamine,Not Required,Reduces fever,Yes,177.2,Over the Counter,Child
Ibuprofen,Asthma,Tablet,Antihistamine,Not Required,Reduces fever,Yes,413.8,Prescription,Child
Atorvastatin,Allergy,Syrup,Analgesic,Required,Used for pain relief,No,305.98,Over the Counter,Child
Metformin,Diabetes,Cream,Antihistamine,Required,Alleviates allergies,No,155.99,Prescription,Adult
Lisinopril,Cholesterol,Tablet,Antihistamine,Required,Controls blood pressure,Yes,469.02,Over the Counter,Adult
Lisinopril,Blood Pressure,Inhaler,Antihistamine,Required,Reduces fever,Yes,78.55,Controlled Substance,Child
Paracetamol,Diabetes,Capsule,Statin,Not Required,Alleviates allergies,No,453.31,Controlled Substance,Senior
Omeprazole,Cholesterol,Inhaler,Antihistamine,Not Required,Used for treating infections,No,355.31,Controlled Substance,Senior
Atorvastatin,Pain,Tablet,Antipyretic,Required,Used for pain relief,Yes,494.64,Controlled Substance,Senior
Ibuprofen,Asthma,Cream,Antibiotic,Not Required,Used for treating infections,Yes,100.64,Over the Counter,Adult
Paracetamol,Acidity,Tablet,Statin,Required,Reduces fever,Yes,430.58,Controlled Substance,Senior
Aspirin,Infection,Drops,Analgesic,Required,Alleviates allergies,Yes,136.06,Controlled Substance,Senior
Atorvastatin,Asthma,Cream,Analgesic,Not Required,Alleviates allergies,Yes,442.5,Over the Counter,Adult
Metformin,Diabetes,Capsule,Proton Pump Inhibitor,Required,Alleviates allergies,No,43.3,Controlled Substance,Adult
Ibuprofen,Asthma,Tablet,Antipyretic,Required,Lowers cholesterol,No,107.15,Controlled Substance,Adult
Simvastatin,Heart Disease,Tablet,Antibiotic,Required,Used for pain relief,No,328.37,Over the Counter,Child
Aspirin,Acidity,Tablet,Antihistamine,Not Required,Lowers cholesterol,No,43.69,Over the Counter,Senior
Atorvastatin,Heart Disease,Gel,Statin,Not Required,Used for pain relief,Yes,499.64,Prescription,Senior
Omeprazole,Diabetes,Drops,Antihistamine,Not Required,Alleviates allergies,Yes,334.68,Over the Counter,Senior
Paracetamol,Heart Disease,Tablet,Statin,Not Required,Used for pain relief,No,357.79,Prescription,Senior
Simvastatin,Infection,Injection,Antipyretic,Not Required,Used for pain relief,No,227.68,Over the Counter,Adult
Paracetamol,Heart Disease,Cream,Antipyretic,Not Required,Used for treating infections,No,114.5,Prescription,Senior
Omeprazole,Cholesterol,Gel,Analgesic,Not Required,Used for treating infections,Yes,207.29,Over the Counter,Senior
Aspirin,Heart Disease,Capsule,Statin,Not Required,Controls blood pressure,Yes,459.61,Controlled Substance,Adult
Metformin,Heart Disease,Gel,Antihistamine,Not Required,Controls blood pressure,Yes,227.96,Controlled Substance,Senior
Ibuprofen,Acidity,Drops,Statin,Not Required,Lowers cholesterol,No,448.87,Controlled Substance,Child
Atorvastatin,Cholesterol,Capsule,Statin,Not Required,Used for treating infections,No,236.87,Controlled Substance,Senior
Lisinopril,Infection,Syrup,Proton Pump Inhibitor,Not Required,Used for treating infections,Yes,354.66,Prescription,Adult
Metformin,Asthma,Injection,Antibiotic,Required,Lowers cholesterol,Yes,467.52,Over the Counter,Senior
Aspirin,Heart Disease,Tablet,Antihistamine,Not Required,Reduces fever,Yes,202.94,Over the Counter,Senior
Simvastatin,Heart Disease,Injection,Antibiotic,Required,Alleviates allergies,No,5.04,Controlled Substance,Child
Atorvastatin,Pain,Tablet,Proton Pump Inhibitor,Required,Alleviates allergies,No,253.58,Prescription,Senior
Atorvastatin,Fever,Syrup,Antibiotic,Required,Used for treating infections,Yes,298.61,Prescription,Adult
Omeprazole,Asthma,Inhaler,Analgesic,Required,Used for treating infections,Yes,276.95,Over the Counter,Senior
Omeprazole,Fever,Syrup,Proton Pump Inhibitor,Required,Used for pain relief,No,193.53,Prescription,Senior
Metformin,Diabetes,Tablet,Analgesic,Not Required,Controls blood pressure,No,267.3,Controlled Substance,Senior
Cetirizine,Diabetes,Inhaler,Proton Pump Inhibitor,Not Required,Lowers cholesterol,No,218.11,Prescription,Adult
Omeprazole,Asthma,Capsule,Antihistamine,Required,Alleviates allergies,Yes,310.86,Prescription,Senior
Omeprazole,Infection,Capsule,Antipyretic,Not Required,Reduces fever,Yes,211.79,Over the Counter,Senior
Cetirizine,Heart Disease,Injection,Antibiotic,Not Required,Lowers cholesterol,No,432.85,Prescription,Child
Omeprazole,Heart Disease,Syrup,Antibiotic,Required,Reduces fever,Yes,173.44,Controlled Substance,Child
Atorvastatin,Cholesterol,Injection,ACE inhibitor,Required,Controls blood pressure,No,485.12,Prescription,Adult
Metformin,Heart Disease,Cream,Antipyretic,Not Required,Used for treating infections,Yes,251.75,Over the Counter,Adult
Amoxicillin,Asthma,Injection,Antibiotic,Required,Controls blood pressure,Yes,148.39,Over the Counter,Senior
Paracetamol,Fever,Tablet,Statin,Required,Lowers cholesterol,Yes,491.7,Controlled Substance,Child
Metformin,Diabetes,Injection,Antihistamine,Required,Lowers cholesterol,No,172.2,Controlled Substance,Senior
Aspirin,Heart Disease,Cream,Statin,Not Required,Lowers cholesterol,Yes,19.41,Prescription,Child
Metformin,Asthma,Cream,ACE inhibitor,Required,Used for pain relief,No,445.27,Controlled Substance,Senior
Cetirizine,Heart Disease,Drops,Antibiotic,Required,Used for pain relief,No,227.84,Over the Counter,Child
Metformin,Infection,Gel,ACE inhibitor,Not Required,Reduces fever,No,336.59,Over the Counter,Adult
Cetirizine,Pain,Capsule,Analgesic,Not Required,Used for pain relief,No,133.08,Controlled Substance,Child
Metformin,Asthma,Drops,ACE inhibitor,Not Required,Controls blood pressure,Yes,256.23,Controlled Substance,Adult
Paracetamol,Infection,Injection,Proton Pump Inhibitor,Required,Used for treating infections,No,192.73,Over the Counter,Senior
Cetirizine,Blood Pressure,Drops,Analgesic,Not Required,Alleviates allergies,Yes,430.18,Prescription,Senior
Ibuprofen,Fever,Cream,ACE inhibitor,Not Required,Reduces fever,No,28.47,Over the Counter,Child
Ibuprofen,Asthma,Inhaler,Analgesic,Not Required,Lowers cholesterol,Yes,192.85,Prescription,Senior
Cetirizine,Infection,Tablet,ACE inhibitor,Not Required,Used for pain relief,Yes,35.66,Over the Counter,Child
Cetirizine,Blood Pressure,Cream,Antibiotic,Required,Lowers cholesterol,Yes,109.63,Controlled Substance,Child
Metformin,Diabetes,Injection,Antipyretic,Not Required,Reduces fever,Yes,57.83,Over the Counter,Adult
Lisinopril,Acidity,Gel,Antihistamine,Required,Reduces fever,No,484.05,Prescription,Senior
Metformin,Acidity,Injection,Antihistamine,Not Required,Controls blood pressure,No,407.68,Over the Counter,Child
Metformin,Heart Disease,Inhaler,ACE inhibitor,Required,Lowers cholesterol,No,150.09,Prescription,Child
Lisinopril,Diabetes,Injection,Analgesic,Required,Reduces fever,No,263.18,Controlled Substance,Senior
Aspirin,Acidity,Inhaler,Statin,Required,Controls blood pressure,Yes,151.42,Over the Counter,Child
Metformin,Allergy,Cream,Analgesic,Required,Lowers cholesterol,No,390.27,Prescription,Senior
Simvastatin,Blood Pressure,Syrup,ACE inhibitor,Not Required,Lowers cholesterol,Yes,174.23,Prescription,Child
Cetirizine,Cholesterol,Gel,Antipyretic,Required,Lowers cholesterol,No,202.52,Over the Counter,Adult
